match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball
9644062,48,52,1,1,11,18,9,1,6,7,15,15,344,379,15,11,14,14,2,3,3,10,0,0,4,6,4,2,6,12,5,6,1,1,7,2,1,3,228,261,31,31,50,72,28,32,9,6,51,49,5,7,33,33,23,21,4,8,8,9,16,9,18,25,6,4,0,1,,,,
9644064,32,68,,,3,15,4,0,2,1,14,13,322,680,18,16,11,12,2,3,1,4,1,1,1,6,1,5,3,5,0,10,,,0,4,1,0,248,615,17,24,34,96,24,19,1,3,54,46,9,10,39,34,14,12,10,6,11,9,8,10,23,7,14,4,,,,,,
9643591,61,39,2,1,18,3,0,3,4,2,16,23,571,368,24,18,22,15,2,4,5,1,0,0,9,1,4,1,15,2,3,1,0,1,4,0,0,1,490,282,27,21,63,35,29,24,6,1,62,38,9,13,62,42,18,7,18,9,14,11,7,12,13,13,2,12,,,2,0,0,1
9643505,63,37,1,2,23,6,2,8,9,2,13,11,599,362,10,15,9,12,2,2,9,3,0,0,6,3,8,0,11,3,12,3,0,1,2,1,2,1,509,285,22,20,53,43,21,29,9,1,53,47,6,3,26,31,24,14,7,5,6,6,12,18,6,23,4,6,,,1,1,0,1
9644065,64,36,10,0,20,2,1,5,3,1,8,13,618,342,11,18,12,8,1,1,10,1,3,0,8,0,2,1,14,0,6,2,6,0,1,2,0,2,558,258,18,19,42,38,24,19,2,0,54,46,14,5,47,32,8,14,24,6,5,12,4,4,11,14,2,10,,,4,0,3,0
9644059,56,44,4,3,14,17,2,5,5,6,8,11,477,364,11,13,11,8,0,1,6,4,1,0,5,10,3,3,9,11,5,6,1,2,2,0,2,4,402,293,23,22,48,48,23,27,3,2,54,46,7,7,35,31,16,13,14,10,5,5,5,9,20,14,13,8,,,3,1,1,1
10102161,43,57,1,1,16,10,1,6,6,4,16,13,325,437,10,9,11,13,2,3,6,1,0,1,6,4,4,5,9,5,7,5,,,1,2,2,1,206,317,27,26,65,58,28,26,7,2,44,56,2,6,24,31,18,22,3,9,7,3,11,8,19,24,7,7,,,1,1,,
9644068,37,63,1,5,11,19,3,3,3,6,13,12,357,625,15,15,12,11,2,2,4,4,1,3,6,10,1,5,8,12,3,7,1,1,3,2,2,4,274,550,16,20,46,94,25,32,2,3,53,47,6,11,36,31,5,6,9,5,4,6,9,15,25,11,16,8,,,0,4,0,3
9644067,55,45,4,1,17,8,5,4,7,4,15,9,463,391,14,17,9,14,1,4,9,5,0,0,7,2,1,1,11,4,6,4,3,0,3,2,3,1,404,332,19,12,58,44,28,24,3,2,47,53,10,6,36,41,5,6,13,10,9,7,4,14,10,18,6,10,0,1,1,1,3,0
9644073,48,52,3,2,18,9,2,4,9,6,14,19,315,365,17,19,18,13,2,3,5,3,2,0,7,2,6,4,12,7,6,2,0,1,3,3,5,1,220,270,26,23,50,49,27,23,7,2,48,52,11,4,38,43,21,21,3,11,10,7,11,15,17,33,5,9,,,3,1,1,1
