match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_accuratethroughball,away_accuratethroughball,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks
6802050,48,52,17,10,2,3,7,4,0,0,411,462,10,10,2,2,,,5,4,2,0,10,3,2,3,13,5,4,5,1,0,1,0,319,375,22,25,53,47,40,32,9,12,8,11
6802055,42,58,10,19,2,3,2,9,0,0,379,503,14,16,3,1,,,4,4,1,0,6,9,0,6,6,8,4,11,1,1,1,2,291,418,21,20,50,50,52,60,13,6,9,10
6802051,51,49,15,10,1,4,8,4,0,0,380,363,13,11,4,1,,,4,2,0,0,7,7,4,1,9,3,6,7,,,,,292,273,24,19,53,47,36,38,11,4,12,11
6802056,53,47,22,3,0,5,6,0,0,0,493,437,15,15,4,2,,,7,2,0,0,15,1,0,0,11,3,11,0,0,1,1,3,418,350,20,15,58,42,42,38,17,5,1,17
6802053,53,47,21,10,2,3,5,3,0,0,463,410,22,15,1,2,1,0,3,4,1,1,13,4,5,2,8,6,13,4,0,3,0,4,376,323,21,19,60,40,48,31,13,10,8,16
6802057,66,34,23,12,2,10,15,3,0,0,564,292,21,10,2,2,,,14,3,1,1,7,8,2,1,10,8,13,4,2,1,1,0,497,209,24,13,59,41,43,31,18,12,10,10
6802077,53,47,14,4,1,5,2,1,0,0,433,370,17,29,1,4,,,7,2,0,0,3,0,4,2,8,2,6,2,,,1,1,345,279,24,25,52,48,42,49,22,10,1,5
6802060,46,54,19,10,3,5,8,3,0,0,316,368,23,27,2,2,,,7,4,0,0,7,4,5,2,16,4,3,6,1,0,1,1,227,273,14,23,55,45,46,50,26,9,7,8
6802080,52,48,15,5,1,2,8,3,0,0,352,319,24,22,4,7,1,0,2,2,0,0,5,3,8,0,10,3,5,2,,,2,4,269,247,25,12,42,58,44,50,5,19,7,5
6802061,49,51,6,11,0,1,0,3,0,0,456,463,13,20,3,1,,,2,0,0,0,4,6,0,5,0,2,6,9,0,1,1,2,343,353,22,22,48,52,35,36,14,18,6,7
6802064,65,35,17,7,4,3,11,3,0,0,609,318,18,10,0,2,,,5,4,0,1,5,2,7,1,10,4,7,3,,,3,3,527,237,17,14,54,46,41,37,10,6,3,10
6802059,38,62,8,21,5,1,2,7,0,0,261,392,14,13,6,2,1,0,4,7,0,3,3,11,1,3,4,12,4,9,,,1,3,169,326,18,21,52,48,27,31,18,10,16,4
6802054,47,53,12,12,2,7,9,4,0,0,324,377,15,14,4,3,,,7,5,0,1,4,5,1,2,6,8,6,4,1,0,3,0,229,271,25,26,46,54,36,48,22,19,5,6
6802074,51,49,8,6,1,2,4,5,0,0,453,448,13,17,2,2,,,2,3,0,0,6,2,0,1,5,4,3,2,,,0,4,354,359,17,20,45,55,39,45,15,20,9,9
6802072,62,38,14,15,7,2,8,1,0,0,468,303,17,17,3,4,0,1,4,10,1,1,8,5,2,0,10,8,4,7,1,0,4,1,387,220,28,28,57,43,47,36,13,10,5,8
6802070,43,57,8,19,3,2,3,8,0,0,299,367,15,25,2,2,,,3,4,0,0,4,13,1,2,4,9,4,10,2,1,1,0,209,255,21,34,43,57,34,40,26,38,13,7
6802066,47,53,18,13,3,6,2,3,0,0,366,408,18,14,1,5,0,1,6,4,0,0,8,4,4,5,5,5,13,8,,,4,3,268,285,21,14,56,44,38,26,17,17,5,15
6802068,57,43,10,14,6,3,4,10,0,0,483,337,12,9,0,2,,,4,6,0,0,5,6,1,2,5,9,5,5,0,1,2,2,391,241,20,22,50,50,39,32,12,18,10,8
6802075,61,39,30,10,4,10,15,3,0,0,476,317,22,17,4,6,1,1,10,6,0,0,14,4,6,0,16,6,14,4,0,2,2,1,404,225,32,18,48,52,38,39,9,12,6,17
6802062,48,52,7,2,,,1,2,0,0,383,425,17,18,1,3,,,4,0,0,0,3,1,0,1,5,1,2,1,,,1,3,285,305,30,23,46,54,41,46,10,14,2,7
6802084,44,56,16,9,2,5,6,5,0,0,369,467,16,24,3,4,,,6,3,0,0,9,4,1,2,8,5,8,4,1,1,3,2,263,358,10,20,58,42,46,38,21,10,9,12
6802067,44,56,12,14,5,5,2,5,0,0,396,486,18,17,3,2,,,6,10,0,0,2,2,4,2,1,12,11,2,0,1,0,2,326,405,18,12,47,53,42,45,4,6,5,4
6802081,48,52,10,16,2,1,2,7,0,0,391,410,12,11,2,3,,,2,3,0,0,4,7,4,6,5,8,5,8,0,1,3,3,306,323,22,28,52,48,43,41,11,8,8,7
6802085,53,47,16,7,2,5,7,5,0,0,296,249,23,19,3,2,,,5,3,0,0,8,3,3,1,3,7,13,0,,,0,3,228,169,30,24,49,51,42,42,11,14,8,9
6802078,60,40,14,7,1,5,2,2,0,0,558,357,17,25,5,4,,,7,3,1,0,5,2,2,2,10,4,4,3,,,0,1,458,251,20,24,44,56,33,50,19,16,4,8
6802079,38,62,9,17,6,2,3,5,0,0,310,476,13,11,4,3,1,0,3,7,0,1,3,6,3,4,3,11,6,6,,,2,2,214,386,20,27,44,56,28,29,8,16,10,5
6802073,44,56,15,11,5,3,5,4,0,0,307,389,14,21,4,1,,,3,5,0,0,6,5,6,1,7,5,8,6,,,1,2,217,288,32,23,40,60,37,53,14,22,7,8
6802076,54,46,16,10,0,2,3,5,0,0,496,418,18,12,2,4,,,6,0,2,2,6,8,4,2,8,4,8,6,,,3,4,418,353,21,20,63,37,39,22,11,8,9,8
