match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards
8915333,71,29,1,0,22,6,1,3,17,3,7,10,583,258,12,18,10,6,0,3,5,2,2,1,10,4,7,0,12,4,10,2,1,0,,,3,1,3,2,513,172,22,13,98,49,40,24,10,2,51,49,13,6,30,31,15,12,8,7,6,11,12,22,6,42,5,15,,,0,1
8915326,43,57,1,3,11,15,5,3,3,6,11,12,370,497,15,19,12,11,4,2,3,6,0,0,7,6,1,3,4,9,7,6,,,1,3,4,4,1,3,306,439,22,15,46,66,24,32,3,6,48,51,16,8,33,39,14,11,6,9,13,16,13,12,10,10,11,11,,,1,0
8915458,44,56,1,1,10,8,1,5,7,2,18,14,377,509,14,11,12,17,5,3,6,3,1,0,2,3,2,2,5,5,5,3,0,1,1,0,1,2,1,0,316,424,19,15,50,51,26,20,6,2,46,54,7,7,31,35,8,11,5,8,10,5,9,8,10,16,5,6,0,1,,
8915308,59,41,3,2,19,9,3,4,5,5,15,16,525,349,7,18,14,14,4,3,5,4,0,0,7,5,7,0,10,6,9,3,1,0,2,2,3,2,0,2,445,266,15,14,57,53,26,27,5,5,47,53,13,3,34,36,12,16,13,5,5,14,12,10,14,12,8,12,,,,
8915321,65,35,1,0,13,10,4,4,6,3,9,16,593,335,11,20,16,8,2,3,4,5,0,1,8,2,1,3,8,6,5,4,,,1,0,2,1,3,1,501,228,29,23,56,62,74,33,8,2,58,42,8,7,37,33,29,15,10,5,6,15,8,15,10,18,5,12,,,,
8915316,55,45,1,4,11,10,0,4,5,3,19,9,459,393,16,22,8,17,3,1,5,5,0,1,3,4,3,1,7,7,4,3,1,2,0,2,0,3,2,2,398,316,19,25,57,48,30,25,7,1,37,63,13,8,29,48,10,19,5,11,10,15,10,16,12,21,10,6,,,,
8915329,44,56,4,2,20,19,5,4,4,8,12,17,393,491,18,15,14,12,3,5,8,7,0,1,8,8,4,4,13,15,7,4,3,0,1,2,5,4,3,1,311,416,17,20,41,45,30,20,3,4,58,42,6,11,45,32,19,15,13,5,13,8,14,3,21,11,7,7,,,0,1
8915309,51,49,2,0,14,7,0,4,6,4,14,15,405,405,10,14,15,12,1,2,6,1,0,0,8,2,0,4,8,4,6,3,1,0,1,0,3,2,1,1,337,318,25,15,63,42,20,30,7,3,52,48,8,5,39,33,16,17,15,8,5,9,10,9,15,21,2,13,,,,
8915375,54,46,5,6,11,14,5,1,7,6,17,11,429,357,12,20,11,14,2,2,4,7,1,1,4,6,3,1,9,10,2,4,3,1,2,5,2,3,2,3,351,285,21,19,41,69,25,29,0,5,43,57,14,9,39,40,8,22,16,8,10,13,7,11,10,9,7,7,0,2,,
8915310,60,40,2,1,16,8,2,5,5,5,12,9,569,374,9,13,9,10,3,3,8,3,0,0,4,2,4,3,10,1,6,7,2,1,,,3,2,5,0,498,294,27,20,56,50,39,33,9,2,51,49,12,4,20,31,17,4,2,8,5,7,11,11,14,14,9,7,1,0,,
