match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_bigchancescored,away_bigchancescored,home_accuratethroughball,away_accuratethroughball
8310926,42,58,0,1,7,11,4,5,8,6,9,14,376,531,9,12,14,8,0,2,,,5,7,0,0,2,1,0,3,3,9,4,2,,,3,0,5,0,276,431,30,18,50,62,22,48,2,4,50,50,5,7,28,22,13,19,7,5,5,8,8,14,20,33,2,7,0,1,1,0
8310920,57,43,7,0,24,5,2,4,6,1,11,17,494,398,20,16,17,10,1,5,,,5,3,2,1,13,1,6,1,16,1,8,4,6,0,1,3,3,1,394,290,21,17,79,48,38,20,14,0,53,47,10,12,40,43,28,18,4,17,14,8,11,15,8,24,2,14,1,0,,
8604431,56,44,0,3,6,13,2,2,5,6,12,9,462,363,23,35,8,12,3,2,,,3,5,0,0,2,2,1,6,3,7,3,6,0,3,2,2,3,1,384,286,24,23,56,52,26,21,0,4,49,51,25,16,45,57,20,12,14,11,19,21,7,16,18,18,6,7,,,0,1
8310911,50,50,3,0,10,13,4,0,3,8,11,13,429,418,17,16,13,9,1,1,,,3,5,0,0,4,5,3,3,7,7,3,6,1,0,2,2,3,1,340,334,23,21,52,48,35,33,6,8,56,44,9,9,36,32,22,14,6,7,7,10,3,8,20,16,11,6,2,0,2,0
8310958,42,58,1,2,5,15,1,1,12,4,16,10,354,529,18,10,8,15,3,0,,,2,2,0,0,1,7,2,6,2,7,3,8,1,2,1,4,0,2,249,442,24,25,44,51,22,22,3,8,48,52,5,11,34,31,18,25,9,6,7,8,9,11,19,38,7,8,,,0,1
8310957,35,65,3,1,13,7,0,3,4,4,15,10,322,624,13,11,9,13,3,0,,,4,2,1,0,8,2,1,3,10,4,3,3,2,0,3,4,1,2,255,556,14,18,41,52,27,22,3,2,55,45,7,6,26,30,22,10,5,6,7,4,15,3,16,17,7,11,1,1,2,0
8310963,35,65,4,2,16,23,8,2,6,10,20,14,276,520,26,17,11,18,3,5,0,1,4,9,1,0,7,7,5,7,11,12,5,11,2,2,3,3,2,1,207,454,17,21,32,63,26,26,7,5,53,47,8,15,50,49,19,11,14,14,14,7,11,3,33,15,8,6,2,0,1,0
8310912,56,44,2,3,11,19,2,2,3,9,14,15,423,321,22,25,13,13,3,3,,,3,3,2,0,6,13,2,3,7,13,4,6,1,3,5,4,2,2,313,211,22,26,63,51,27,17,4,13,50,50,11,16,40,49,30,20,6,12,18,15,10,7,23,11,12,8,1,0,,
8310969,41,59,3,1,14,12,1,5,7,6,12,17,323,474,15,14,16,12,2,3,1,0,7,2,0,0,6,6,1,4,10,7,4,5,1,0,4,5,4,0,253,388,17,20,39,55,21,26,8,3,60,40,5,10,40,32,24,10,9,6,7,8,14,8,21,19,10,7,2,1,1,0
8310913,43,57,1,5,11,21,7,2,6,2,13,14,290,388,13,13,13,12,3,4,,,7,8,0,1,3,10,1,3,4,11,7,10,0,4,2,8,0,5,205,322,21,28,49,48,26,35,3,4,50,50,9,5,31,36,21,16,7,10,9,6,6,8,16,23,10,6,1,1,,
8310959,61,39,3,3,11,10,1,1,5,4,16,10,589,374,21,16,6,15,2,1,,,5,2,0,0,5,7,1,1,8,5,3,5,0,2,4,2,1,1,524,305,17,16,65,35,21,31,5,3,47,53,9,12,39,46,11,10,12,15,16,8,8,8,12,27,7,8,3,1,1,1
8310914,59,41,3,1,19,8,2,6,8,1,11,14,475,338,9,21,13,11,3,4,,,7,3,1,0,8,3,4,2,11,4,8,4,2,1,8,0,1,0,399,256,26,28,77,36,29,25,6,1,42,58,15,5,28,41,16,20,6,9,6,16,11,9,17,36,4,10,1,0,,
8310946,65,35,0,2,12,15,6,2,10,3,7,16,488,281,15,22,14,6,1,2,1,0,2,7,1,1,7,5,3,3,8,8,4,7,0,2,4,0,,,391,196,29,16,55,39,34,18,9,1,52,48,12,6,42,34,17,21,14,6,9,16,5,16,7,29,8,11,,,,
8310949,64,36,3,2,19,11,2,5,7,4,14,18,646,367,11,14,18,13,2,1,,,5,2,0,0,8,4,6,5,12,8,7,3,3,2,4,2,2,0,554,275,19,14,65,56,28,32,9,5,53,47,9,9,41,37,21,17,12,10,5,6,12,11,15,26,7,8,,,,
8310944,68,32,6,1,16,11,2,4,10,5,15,13,597,274,13,13,11,15,3,2,,,8,2,0,0,3,5,5,4,13,5,3,6,4,1,4,2,7,2,505,202,26,19,55,45,26,21,7,1,52,48,4,9,39,34,9,11,15,7,7,6,7,18,11,31,5,7,2,0,2,0
8310942,42,58,1,3,13,15,5,2,5,9,19,11,281,420,17,11,11,18,8,1,0,1,2,7,0,0,5,6,6,2,6,10,7,5,1,1,2,6,0,2,214,338,13,23,49,51,20,17,7,7,55,45,7,11,41,40,20,9,15,12,9,5,9,15,20,20,11,12,0,2,0,1
8310956,69,31,5,3,17,5,1,2,5,2,11,13,625,282,19,14,10,10,3,4,,,3,2,0,1,9,3,5,0,13,3,4,2,4,2,3,3,3,4,532,194,25,22,67,43,33,28,8,0,52,48,7,12,43,36,15,18,14,12,11,12,4,13,9,23,3,13,1,1,,
8310938,53,47,5,2,15,11,1,7,8,8,16,15,409,356,18,20,12,14,4,4,,,9,3,0,0,3,3,3,5,9,8,6,3,3,1,1,4,1,3,345,276,19,21,33,66,33,23,5,5,50,50,10,12,47,44,11,15,18,11,12,13,12,7,27,18,4,7,2,1,,
8310950,52,48,0,1,13,8,0,3,7,2,12,11,378,355,11,19,10,11,0,3,,,4,1,1,0,4,3,5,4,6,8,7,0,,,2,1,2,0,276,250,35,21,49,51,19,28,6,4,44,56,10,7,28,38,22,26,7,10,7,12,10,21,14,21,9,6,0,1,,
8310931,40,60,1,5,11,19,5,3,4,5,12,11,374,602,11,11,9,10,2,0,,,3,8,0,0,7,5,1,6,6,12,5,7,1,3,1,2,3,0,310,534,15,8,50,44,25,26,7,2,42,58,8,6,29,33,6,16,9,13,8,6,11,9,17,27,6,7,0,2,0,1
8604433,55,45,2,0,14,4,1,2,5,1,11,17,535,446,14,14,17,11,1,2,,,4,1,0,0,5,3,5,0,10,2,4,2,1,0,5,3,2,4,450,369,22,12,60,56,32,26,5,3,53,47,9,8,50,36,13,19,21,11,9,9,11,13,14,20,4,5,1,0,,
8310981,34,66,1,0,6,19,7,2,0,5,14,11,301,573,23,15,10,13,3,3,,,3,7,0,0,2,7,1,5,5,7,1,12,,,1,4,4,1,211,483,18,31,44,66,33,28,3,8,50,50,7,17,44,42,14,16,11,14,18,12,21,10,29,5,14,3,1,0,1,0
