match_id,home_ballpossession,away_ballpossession,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_duelwonpercent,away_duelwonpercent,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_goalkicks,away_goalkicks,home_accuratethroughball,away_accuratethroughball,home_redcards,away_redcards,home_bigchancecreated,away_bigchancecreated,home_totaltackle,away_totaltackle,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_fouledfinalthird,away_fouledfinalthird,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_dispossessed,away_dispossessed,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_ballrecovery,away_ballrecovery,home_totalclearance,away_totalclearance
7479853,47,53,9,11,2,2,6,3,18,15,404,459,13,14,3,1,2,4,0,1,3,5,4,2,3,6,6,5,2,1,294,354,30,31,49,51,44,42,14,18,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479861,64,36,30,6,1,11,11,0,15,11,629,358,8,15,3,1,17,2,0,0,7,4,6,0,18,3,12,3,2,0,556,263,17,17,52,48,41,36,10,12,4,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479851,36,64,11,12,2,3,2,8,14,18,329,557,17,11,2,0,5,3,0,0,3,5,3,4,4,5,7,7,1,2,249,470,19,26,48,52,45,47,19,21,8,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479848,61,39,19,11,3,4,12,3,19,14,465,304,14,18,1,3,9,4,2,0,7,5,3,2,13,7,6,4,2,3,404,240,14,19,46,54,46,54,10,13,6,12,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479852,62,38,12,12,4,3,10,6,17,20,512,301,20,17,4,6,5,4,0,0,5,4,2,4,4,4,8,8,1,1,422,217,20,15,53,47,52,42,17,18,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479849,56,44,13,13,2,8,3,7,15,16,481,361,14,15,2,3,9,2,0,0,3,7,1,4,7,6,6,7,0,1,382,267,16,20,46,54,26,33,23,25,8,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479854,54,46,21,9,0,7,10,5,18,18,431,367,17,18,5,2,10,1,0,1,9,6,2,2,10,3,11,6,2,1,362,280,16,17,56,44,52,44,16,10,8,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479859,72,28,11,7,2,2,7,2,16,31,591,231,30,16,2,4,3,4,1,0,6,2,2,1,7,4,4,3,0,3,478,143,37,18,54,46,43,32,21,23,4,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479862,29,71,12,24,6,5,2,15,10,11,255,568,11,10,1,0,7,9,1,0,4,11,1,4,7,17,5,7,4,3,162,498,15,16,44,56,34,31,10,26,19,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479860,36,64,9,16,8,2,2,7,9,12,311,563,11,8,4,0,3,9,1,1,6,4,0,3,6,8,3,8,3,3,204,465,33,28,47,53,35,47,20,16,8,8,0,1,,,2,5,18,27,1,1,1,4,4,2,55,57,23,29,4,8,13,11,7,12,14,17,14,12,62,58,18,23
