match_id,home_ballpossession,away_ballpossession,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_redcards,away_redcards,home_shotsongoal,away_shotsongoal,home_shotsoffgoal,away_shotsoffgoal,home_offsides,away_offsides,home_throwins,away_throwins,home_goalkicks,away_goalkicks
4099039,46,54,4,2,6,6,18,18,19,22,0,4,0,0,3,6,2,8,4,1,30,27,13,6
4099029,55,45,0,4,6,4,15,23,22,0,1,1,0,0,7,3,9,4,1,5,23,22,9,12
4099027,52,48,1,2,9,5,17,22,23,20,2,2,0,0,3,2,4,1,3,1,22,29,9,9
4099023,46,54,6,6,4,4,24,22,25,26,1,3,0,0,9,6,5,2,2,3,13,22,6,8
4099025,65,35,3,5,1,5,18,21,23,19,1,5,0,1,4,3,6,6,1,2,20,17,10,11
4099037,46,54,4,4,2,1,15,8,9,16,1,3,0,1,6,4,4,8,1,1,30,29,16,8
4099035,41,59,3,5,1,7,14,22,24,14,1,3,0,0,6,4,2,6,0,2,19,23,10,8
4099033,51,49,6,6,6,7,21,6,8,23,2,2,0,0,10,11,7,5,2,2,25,14,8,10
4099031,48,52,3,2,4,3,13,23,23,14,3,2,0,0,3,3,5,2,1,0,22,21,6,12
4099055,50,50,3,2,4,6,17,16,18,19,4,6,0,0,7,4,2,4,2,2,17,26,14,3
4099049,52,48,4,0,3,7,22,21,23,24,3,3,0,1,1,4,10,4,2,2,29,23,7,16
4099041,55,45,4,5,11,3,18,21,25,21,1,3,0,0,7,5,4,5,3,4,23,16,8,7
4099047,51,49,2,2,11,1,13,17,22,14,3,2,0,0,2,4,3,3,1,5,29,19,7,10
4099057,48,52,2,4,3,3,17,26,30,20,2,6,1,0,6,2,2,3,3,5,31,21,5,11
4099051,65,35,4,8,10,2,21,21,23,28,4,3,0,1,5,4,6,6,7,2,26,28,13,11
4099043,55,45,2,3,5,3,18,19,20,19,3,5,0,0,6,6,6,2,1,1,24,23,9,12
4099045,53,47,18,9,7,6,17,13,14,21,3,2,0,0,6,9,5,3,4,1,17,18,6,6
4099053,54,46,3,5,11,3,16,21,21,18,1,3,0,0,8,5,5,5,2,0,27,24,9,16
4099073,43,57,0,3,4,9,23,16,19,24,,,,,5,0,7,11,1,3,24,20,18,11
4099071,54,46,4,2,9,5,17,12,13,20,2,1,0,0,3,5,7,3,3,1,29,17,12,17
4099069,49,51,1,5,4,9,11,25,26,14,1,3,0,0,7,3,2,1,3,1,21,21,7,12
4099075,46,54,2,2,5,6,16,22,27,21,2,2,0,0,3,2,5,6,5,5,21,36,11,8
4099059,55,45,0,5,8,3,29,17,18,31,3,3,0,0,7,2,6,5,2,1,16,21,10,11
4099061,43,57,3,2,4,3,21,14,16,24,1,0,0,0,8,6,4,2,3,2,27,36,7,10
4099065,46,54,2,3,6,3,19,17,17,23,3,2,0,0,4,2,7,6,4,0,23,19,7,8
4099067,47,53,5,4,6,7,19,22,23,24,2,2,0,0,6,7,8,3,5,1,11,29,5,11
4099063,47,53,8,3,8,8,22,28,29,23,1,3,0,1,4,9,8,5,1,1,17,24,14,12
4099081,50,50,2,2,5,6,18,15,17,24,1,2,0,0,5,4,3,9,6,2,18,22,11,10
4099089,60,40,2,3,5,2,20,26,31,21,3,4,0,0,3,2,6,2,1,5,26,14,5,12
4099093,65,35,4,3,5,1,19,18,18,20,2,3,0,0,3,4,6,5,1,0,35,22,6,13
4099079,55,45,1,3,8,5,10,21,23,13,1,1,0,0,2,1,5,5,3,2,34,18,11,7
4099087,69,31,0,7,12,2,17,16,17,19,0,1,0,0,9,0,9,2,2,1,30,18,3,13
4099083,57,43,3,5,6,3,9,18,19,10,2,0,0,0,5,7,5,3,1,1,25,19,6,10
4099077,46,54,2,4,3,2,17,17,26,18,0,2,0,0,5,5,9,4,1,9,22,21,7,16
4099085,52,48,2,1,7,3,22,15,16,25,1,3,0,0,1,2,3,4,3,1,27,25,6,7
4099091,42,58,3,1,2,8,19,14,14,21,3,1,0,0,2,4,7,6,2,0,27,22,12,8
4099099,52,48,3,2,6,4,19,23,27,29,1,1,0,0,2,3,2,5,10,4,25,35,10,7
4099103,51,49,4,5,4,6,15,25,27,18,0,3,0,0,6,4,9,3,3,2,17,13,4,11
4099097,59,41,1,4,5,7,17,14,20,21,2,2,0,0,9,2,3,3,4,6,21,21,7,8
4099095,53,47,1,2,3,6,22,21,23,22,2,2,0,0,3,1,5,3,0,2,23,25,12,9
4099101,53,47,3,1,7,7,19,17,24,21,2,2,1,1,3,4,1,5,2,7,34,16,10,2
4099107,65,35,2,7,9,1,18,16,16,21,5,6,0,2,9,2,7,1,3,0,24,21,3,10
4099105,45,55,4,4,5,4,21,14,15,23,2,0,0,0,5,6,4,5,2,1,24,16,10,7
4099111,51,49,4,3,6,4,12,14,15,19,3,1,0,0,4,4,4,1,7,1,26,23,5,9
4099117,45,55,5,2,3,7,27,18,20,31,2,2,0,0,2,2,3,8,4,2,15,23,13,6
4099121,54,46,3,3,5,5,19,21,25,20,3,1,0,0,4,5,7,6,1,4,16,37,9,11
4099127,37,63,3,4,5,4,21,20,23,22,4,2,0,0,4,3,2,6,1,3,25,19,9,8
4099125,34,66,2,2,2,4,24,15,16,29,2,2,0,0,4,4,2,5,5,1,25,29,15,5
4099129,56,44,2,2,2,6,20,21,21,21,1,2,0,0,2,3,7,5,1,0,30,17,12,17
4099123,49,51,3,2,5,5,19,21,22,21,5,5,0,0,3,3,4,6,2,1,34,24,12,7
4099115,56,44,2,9,9,5,11,16,18,13,0,2,0,0,10,6,4,3,2,2,38,26,3,11
4099119,55,45,1,7,6,5,21,16,18,22,3,3,0,0,9,2,7,2,1,2,21,23,4,13
4099113,46,54,6,7,5,9,21,15,17,25,3,3,1,1,10,6,1,8,4,2,16,25,12,6
4099143,44,56,4,3,4,2,18,29,31,23,4,1,0,1,0,1,7,8,5,2,27,27,14,8
