match_id,home_ballpossession,away_ballpossession,home_bigchancecreated,away_bigchancecreated,home_totalshotsongoal,away_totalshotsongoal,home_goalkeepersaves,away_goalkeepersaves,home_cornerkicks,away_cornerkicks,home_fouls,away_fouls,home_passes,away_passes,home_totaltackle,away_totaltackle,home_freekicks,away_freekicks,home_yellowcards,away_yellowcards,home_shotsongoal,away_shotsongoal,home_hitwoodwork,away_hitwoodwork,home_shotsoffgoal,away_shotsoffgoal,home_blockedscoringattempt,away_blockedscoringattempt,home_totalshotsinsidebox,away_totalshotsinsidebox,home_totalshotsoutsidebox,away_totalshotsoutsidebox,home_bigchancescored,away_bigchancescored,home_bigchancemissed,away_bigchancemissed,home_accuratethroughball,away_accuratethroughball,home_fouledfinalthird,away_fouledfinalthird,home_offsides,away_offsides,home_accuratepasses,away_accuratepasses,home_throwins,away_throwins,home_finalthirdentries,away_finalthirdentries,home_accuratelongballs,away_accuratelongballs,home_accuratecross,away_accuratecross,home_duelwonpercent,away_duelwonpercent,home_dispossessed,away_dispossessed,home_groundduelspercentage,away_groundduelspercentage,home_aerialduelspercentage,away_aerialduelspercentage,home_dribblespercentage,away_dribblespercentage,home_wontacklepercent,away_wontacklepercent,home_interceptionwon,away_interceptionwon,home_totalclearance,away_totalclearance,home_goalkicks,away_goalkicks,home_redcards,away_redcards,home_ballrecovery,away_ballrecovery
10433887,54,46,0,2,11,8,0,2,1,6,9,12,519,433,24,26,12,9,2,2,2,2,2,0,7,5,2,1,4,7,7,1,0,2,,,,,1,0,1,0,410,321,25,20,81,57,37,39,3,6,44,56,12,8,39,47,12,18,4,12,15,15,8,14,16,25,7,13,,,,
10433997,45,55,1,3,11,12,1,4,1,2,16,18,447,571,14,17,16,16,3,1,5,4,0,1,6,1,0,7,6,8,5,4,1,2,0,1,,,4,2,0,2,371,481,17,30,42,60,26,42,3,2,50,50,11,10,36,38,12,10,6,6,10,11,8,4,12,9,3,8,,,,
10433985,71,29,1,1,11,12,3,3,4,4,11,12,648,262,13,12,11,10,2,3,4,4,0,1,5,7,2,1,8,5,3,7,1,1,,,1,0,2,2,3,0,565,193,24,20,71,37,24,18,3,2,59,41,6,7,36,25,13,9,12,3,10,5,7,9,14,11,9,11,,,,
10433872,59,41,2,2,10,9,1,0,4,6,18,9,569,401,18,24,8,17,4,2,1,3,2,0,7,3,2,3,8,6,2,3,0,2,2,0,,,3,1,1,2,471,293,25,28,93,50,29,26,8,3,43,57,18,14,34,45,20,27,8,5,12,11,10,13,13,29,6,8,,,,
10433943,53,47,3,0,18,8,0,5,5,2,20,19,392,358,34,15,17,20,4,5,7,0,0,1,6,5,5,3,10,6,8,2,1,0,2,0,,,0,1,6,3,292,259,29,23,64,50,23,21,4,2,57,43,12,18,57,39,20,20,6,4,20,8,8,14,14,30,7,12,0,1,,
10433951,51,49,3,1,16,14,2,4,4,4,15,10,461,431,23,27,9,15,3,2,6,3,0,0,6,9,4,2,10,6,6,8,,,3,1,1,0,0,2,2,0,385,349,30,18,65,55,30,28,3,5,47,53,14,10,44,45,6,12,12,3,15,20,10,14,24,18,11,13,,,,
10433983,35,65,0,4,10,20,0,2,2,4,15,9,316,562,26,15,9,15,4,2,3,1,0,0,4,13,3,6,3,12,7,8,0,1,0,3,,,3,6,1,0,215,470,33,24,53,59,19,34,1,7,43,57,7,12,38,42,11,22,3,12,12,11,13,13,30,17,15,6,,,,
10433890,48,52,2,2,10,15,3,1,4,5,9,21,449,486,14,18,20,6,3,4,3,6,0,2,4,5,3,4,9,11,1,4,2,1,0,1,0,1,3,3,1,3,358,400,30,24,50,56,36,19,4,4,58,42,6,8,38,27,15,11,7,3,10,8,12,6,12,22,9,10,,,,
10433874,48,52,4,2,17,12,1,3,12,5,13,7,462,508,12,25,7,12,4,2,5,2,2,0,8,7,4,3,14,8,3,4,1,1,3,1,,,3,1,1,3,336,394,26,26,54,49,24,13,7,4,42,58,12,6,23,42,21,19,5,5,10,13,13,12,17,26,10,10,,,,
10433989,47,53,1,0,6,6,1,0,1,3,14,15,514,586,19,19,15,13,2,2,2,1,0,0,3,1,1,4,3,2,3,4,1,0,,,0,1,3,1,2,1,447,499,12,21,46,34,37,40,1,0,56,44,12,7,42,38,15,6,8,6,10,12,11,7,17,8,3,7,,,,
10433964,62,38,3,1,17,8,1,4,8,5,13,14,617,373,8,4,13,13,1,4,5,3,0,1,5,2,7,3,10,3,7,5,1,1,2,0,1,0,2,1,1,1,546,301,20,18,66,51,24,32,4,4,44,56,1,5,28,21,6,23,7,4,6,4,8,8,11,25,5,8,,,,
10433949,66,34,8,2,25,4,0,9,11,0,9,15,568,291,15,16,13,8,3,2,15,0,1,0,4,3,6,1,20,3,5,1,2,0,6,2,1,1,3,0,3,6,509,203,18,21,50,36,33,21,8,1,55,45,11,10,37,26,5,8,9,2,7,9,11,11,5,18,5,9,,,,
10433876,43,57,2,0,5,14,3,0,0,7,23,18,447,589,26,16,17,22,3,4,3,4,0,0,2,4,0,6,3,10,2,4,2,0,,,1,0,4,3,1,3,358,507,16,21,39,68,21,34,2,4,52,48,10,10,51,43,14,16,8,5,14,11,12,12,17,8,7,2,,,,
10433900,51,49,1,1,10,11,2,2,3,5,15,15,517,472,13,24,15,12,2,4,4,3,1,0,6,6,0,2,7,10,3,1,1,1,,,2,0,3,1,2,8,411,372,18,20,53,81,30,31,2,7,50,50,17,6,34,39,19,13,6,3,11,12,18,9,27,11,12,7,,,,
10433954,31,69,3,3,10,13,6,2,4,4,16,10,334,740,10,13,10,14,5,1,6,7,1,1,3,4,1,2,7,8,3,5,2,1,1,2,1,0,1,5,,,240,634,20,19,37,96,27,48,4,4,46,54,7,3,25,28,9,12,5,1,6,7,24,7,17,5,10,5,1,1,,
10433982,48,52,4,1,13,11,5,4,6,3,13,13,412,464,14,18,11,13,5,3,6,6,0,0,2,3,5,2,5,6,8,5,2,1,2,0,0,1,4,3,1,1,321,364,18,20,69,62,30,27,3,4,44,56,8,12,28,35,8,11,3,4,6,11,9,5,14,25,4,8,,,,
10433950,48,52,3,2,15,12,5,5,2,3,14,14,385,424,30,21,12,13,4,5,6,8,0,0,7,3,2,1,10,6,5,6,1,1,2,1,2,1,2,2,7,2,255,293,25,21,72,76,25,17,4,2,50,50,12,23,45,41,24,29,3,7,12,15,15,6,15,11,13,8,1,0,,
10433980,57,43,2,1,16,13,3,4,7,4,18,15,503,395,24,13,13,16,5,2,5,3,0,1,8,5,3,5,12,7,4,6,,,2,1,2,0,2,3,2,3,403,306,17,21,63,49,26,25,5,1,53,47,8,9,44,39,12,10,7,11,17,5,11,13,17,29,6,12,,,,
10433893,48,52,3,6,11,17,3,3,5,2,10,14,386,425,10,14,14,9,3,2,3,5,0,0,5,10,3,2,9,11,2,6,2,2,1,4,0,1,4,4,2,1,303,337,21,23,46,62,28,21,7,5,55,45,7,5,33,28,22,17,9,5,6,9,3,8,25,14,13,8,1,0,,
